Timestamp,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8
2024-11-26 16:23:01,246.6,212.1,248.8,224,216.3,230,202.72,243.4
2024-11-26 16:23:02,247.5,236.1,244.8,255,226.3,222,208.69,245.3
2024-11-26 16:23:03,268.5,226.1,246.8,216,226.2,226,194.71,242.3
2024-11-26 16:23:05,263.5,216.1,215.8,210,228.3,241,211.68,229.4
2024-11-26 16:23:06,260.5,222.1,237.8,249,238.3,233,252.68,262.3
2024-11-26 16:23:07,239.7,197.1,231.8,229,221.2,236,207.7,247.4
2024-11-26 16:23:08,251.5,220.1,225.8,247,230.3,242,227.69,220.3
2024-11-26 16:23:10,262.5,244.1,248.8,248,230.2,251,223.68,259.4
2024-11-26 16:23:11,236.5,205.1,240.8,239,231.2,235,225.69,264.4
2024-11-26 16:23:12,266.5,217.1,232.8,224,224.2,241,193.69,223.4
2024-11-26 16:23:13,237.5,220.1,245.8,240,233.3,229,188.68,243.3
2024-11-26 16:23:15,224.6,205.1,246.8,204,213.2,212,213.68,253.4
2024-11-26 16:23:16,262.5,219.1,232.8,216,240.2,238,205.68,239.4
2024-11-26 16:23:17,250.5,209.1,229.8,222,228.2,241,204.67,252.4
2024-11-26 16:23:18,255.5,207.1,213.8,235,225.2,218,191.7,215.3
2024-11-26 16:23:20,262.5,230.1,241.8,233,247.2,223,213.7,257.4
2024-11-26 16:23:21,244.5,219.1,251.8,237,236.2,224,242.68,238.3
2024-11-26 16:23:22,269.5,206.1,233.8,234,238.3,213,209.68,265.4
2024-11-26 16:23:23,258.5,214.1,236.8,241,238.3,232,200.68,242.4
2024-11-26 16:23:25,251.5,211.1,206.8,234,247.2,217,224.7,242.3
2024-11-26 16:23:26,262.5,208.1,224.8,245,217.3,233,220.68,248.4
2024-11-26 16:23:27,273.5,224.1,243.8,227,217.3,225,216.68,246.3
2024-11-26 16:23:28,236.5,222.1,209.8,217,226.3,210,210.69,277.3
2024-11-26 16:23:30,252.5,222.1,221.8,238,254.2,244,213.69,274.4
2024-11-26 16:23:31,251.5,235.1,234.8,246,255.2,221,215.68,232.3
2024-11-26 16:23:32,246.5,225.1,226.8,248,259.2,231,217.68,247.3
2024-11-26 16:23:34,245.5,197.1,264.8,242,221.3,249,211.68,229.3
2024-11-26 16:23:35,238.5,228.1,255.8,243,244.2,227,218.68,235.3
2024-11-26 16:23:36,225.5,213.1,224.8,202,215.2,222,193.68,271.4
2024-11-26 16:23:37,242.5,226.1,230.8,246,200.2,218,180.68,252.4
2024-11-26 16:23:39,249.5,210.1,229.8,244,244.2,231,204.67,215.4
2024-11-26 16:23:40,247.5,219.1,221.8,254,238.3,230,205.68,239.3
2024-11-26 16:23:41,220.5,222.1,199.8,248,225.3,225,204.68,239.3
2024-11-26 16:23:42,266.5,228.1,227.8,243,235.5,221,213.68,229.4
2024-11-26 16:23:44,257.5,212.1,235.8,240.1,240.3,230,206.68,242.4
2024-11-26 16:23:45,262.5,203.1,237.8,235,247.3,223,222.68,264.4
2024-11-26 16:23:46,265.5,196.1,264.8,220,237.2,223,200.69,258.4
2024-11-26 16:23:47,233.5,182.1,248.8,221,235.2,212,217.68,249.4
2024-11-26 16:23:49,255.5,224.1,223.8,234,227.3,215,210.69,266.4
2024-11-26 16:23:50,258.5,209.1,224.8,243,241.3,231,210.7,241.3
2024-11-26 16:23:51,258.5,206.1,256.8,248,218.2,246,217.7,235.4
2024-11-26 16:23:52,251.5,219.1,248.8,252,226.2,217,194.69,214.4
2024-11-26 16:23:54,243.5,222.1,239.8,215,222.3,218,210.69,230.4
2024-11-26 16:23:55,239.5,188.1,240.8,229,226.2,223,226.7,257.3
2024-11-26 16:23:56,242.5,213.1,227.8,239,239.3,225,205.68,284.3
